bookmaker,last_update,home_team,away_team,label_1,odd_1,label_2,odd_2,odd_draw
888sport,18/10/2023,Argentina,New Zealand,Argentina,8,New Zealand,"1,06",34
Marathon Bet,18/10/2023,Argentina,New Zealand,Argentina,"8,5",New Zealand,"1,08",48
Unibet,18/10/2023,Argentina,New Zealand,Argentina,8,New Zealand,"1,08",
Betfair,18/10/2023,Argentina,New Zealand,Argentina,"11,5",New Zealand,"1,1",70
Betfair,18/10/2023,Argentina,New Zealand,Argentina,12,New Zealand,"1,11",85
Everygame,18/10/2023,Argentina,New Zealand,Argentina,8,New Zealand,"1,06",34
Pinnacle,18/10/2023,Argentina,New Zealand,Argentina,"8,23",New Zealand,"1,05",
Coolbet,18/10/2023,Argentina,New Zealand,Argentina,"7,5",New Zealand,"1,06",26
Matchbook,18/10/2023,Argentina,New Zealand,Argentina,"11,5",New Zealand,"1,1",70
Matchbook,18/10/2023,Argentina,New Zealand,Argentina,12,New Zealand,"1,11",85
Nordic Bet,18/10/2023,Argentina,New Zealand,Argentina,"7,8",New Zealand,"1,05",
Unibet,18/10/2023,England,South Africa,England,"5,75",South Africa,"1,14",
Coolbet,18/10/2023,England,South Africa,England,5,South Africa,"1,14",26
888sport,18/10/2023,England,South Africa,England,"5,5",South Africa,"1,15",29
Betfair,18/10/2023,England,South Africa,England,"6,2",South Africa,"1,22",34
Betfair,18/10/2023,England,South Africa,England,"6,4",South Africa,"1,23",42
Nordic Bet,18/10/2023,England,South Africa,England,"5,2",South Africa,"1,12",
Pinnacle,18/10/2023,England,South Africa,England,"5,55",South Africa,"1,12",
Everygame,18/10/2023,England,South Africa,England,5,South Africa,"1,15",29
Matchbook,18/10/2023,England,South Africa,England,"6,2",South Africa,"1,22",36
Matchbook,18/10/2023,England,South Africa,England,"6,4",South Africa,"1,23",40
Marathon Bet,18/10/2023,England,South Africa,England,"5,4",South Africa,"1,18",34
