date,city,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,home_team,away_team,home_score,away_score,competition,stadium,country,neutral,world_cup
2010-02-06,Dublin,3969,Winter,4.4,2.3,6.9,1.0,9.9,Ireland,Italy,29,11,2010 Six Nations Championship,Croke Park,Ireland,False,False
2010-02-06,London,3772,Winter,5.1,4.1,7.2,0.5,12.6,England,Wales,30,17,2010 Six Nations Championship,Twickenham,England,False,False
2010-02-07,Edinburgh,3171,Winter,4.7,3.3,5.5,2.0,11.4,Scotland,France,9,18,2010 Six Nations Championship,Murrayfield,Scotland,False,False
2010-02-13,Saint-Denis,7149,Winter,,-4.9,-2.2,0.0,,France,Ireland,33,10,2010 Six Nations Championship,Stade de France,France,False,False
2010-02-14,Rome,16239,Winter,5.9,3.6,9.0,,,Italy,England,12,17,2010 Six Nations Championship,Stadio Flaminio,Italy,False,False
2010-02-27,London,3772,Winter,7.4,4.0,11.1,0.5,14.8,England,Ireland,16,20,2010 Six Nations Championship,Twickenham,England,False,False
2010-02-27,Rome,16239,Winter,10.9,,16.4,,,Italy,Scotland,16,12,2010 Six Nations Championship,Stadio Flaminio,Italy,False,False
2010-03-13,Edinburgh,3171,Spring,6.5,0.7,12.3,0.0,21.8,Scotland,England,15,15,2010 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2010-03-13,Dublin,3969,Spring,5.6,1.3,9.6,,15.3,Ireland,Wales,27,12,2010 Six Nations Championship,Croke Park,Ireland,False,False
2010-03-14,Saint-Denis,7149,Spring,,2.8,8.8,0.0,,France,Italy,46,20,2010 Six Nations Championship,Stade de France,France,False,False
2010-03-20,Dublin,3969,Spring,6.7,5.6,12.3,6.1,17.5,Ireland,Scotland,20,23,2010 Six Nations Championship,Croke Park,Ireland,False,False
2010-03-20,Saint-Denis,7149,Spring,,11.5,16.1,15.7,,France,England,12,10,2010 Six Nations Championship,Stade de France,France,False,False
2010-06-12,Cape Town,68816,Winter,12.3,6.6,19.8,,,South Africa,France,42,17,2010 mid-year test,Newlands,South Africa,False,False
2010-06-12,New Plymouth,93309,Winter,11.9,,16.6,8.6,,New Zealand,Ireland,66,28,2010 Ireland rugby union tour of New Zealand and Australia,Yarrow Stadium,New Zealand,False,False
2010-06-12,Perth,94614,Winter,,10.7,22.3,0.0,,Australia,England,27,17,2010 England tour of Australia and New Zealand,Subiaco Oval,Australia,False,False
2010-06-19,Sydney,94767,Winter,14.3,7.4,19.9,0.0,21.6,Australia,England,20,21,2010 England tour of Australia and New Zealand,Stadium Australia,Australia,False,False
2010-06-26,Buenos Aires,87582,Winter,12.5,11.0,18.1,,23.3,Argentina,France,41,13,2010 Summer International,José Amalfitani Stadium,Argentina,False,False
2010-06-26,Brisbane,94576,Winter,,12.5,21.3,0.0,,Australia,Ireland,22,15,2010 Summer International,Lang Park,Australia,False,False
2010-06-26,Hamilton,78016,Summer,27.4,25.7,30.0,0.0,21.6,New Zealand,Wales,29,10,2010 Wales tour of New Zealand,Waikato Stadium,New Zealand,False,False
2010-06-26,Hamilton,93119,Winter,11.8,,,,,New Zealand,Wales,29,10,2010 Wales tour of New Zealand,Waikato Stadium,New Zealand,False,False
2010-07-10,Auckland,93110,Winter,6.4,,11.5,0.0,,New Zealand,South Africa,32,12,2010 Tri Nations Series,Eden Park,New Zealand,False,False
2010-07-17,Wellington,93439,Winter,9.8,,11.6,6.1,,New Zealand,South Africa,31,17,2010 Tri Nations Series,Westpac Stadium,New Zealand,False,False
2010-07-24,Brisbane,94576,Winter,,11.6,21.4,0.0,,Australia,South Africa,30,13,2010 Tri Nations Series,Lang Park,Australia,False,False
2010-07-31,Melbourne,95866,Winter,,10.4,16.0,0.2,,Australia,New Zealand,28,49,2010 Tri Nations Series,Docklands Stadium,Australia,False,False
2010-08-07,Christchurch,93781,Winter,9.2,2.1,12.8,0.0,,New Zealand,Australia,20,10,2010 Tri Nations Series,Lancaster Park,New Zealand,False,False
2010-08-28,Pretoria,68263,Winter,18.8,11.0,26.6,,,South Africa,Australia,44,31,2010 Tri Nations Series,Loftus Versfeld Stadium,South Africa,False,False
